fechas,idHoras,EC_Abrera,EC_suriaDesf,QBaells_Desf,QBalsanery_Desf,QBerga_Desf,QCardona_Desf,QSuria_Desf,Prep_Desf
42885.2083,58937,1391.0000,2182.9500,5.0460,4.9970,5.3520,3.8650,1.4730,0.0000
42885.2500,58938,1386.8800,2184.0700,5.0460,5.0390,5.3530,3.5760,1.4640,0.0000
42885.2917,58939,1383.5000,2185.8800,5.0450,5.0420,5.3200,3.6550,1.3390,0.0000
42885.3333,58940,1379.4500,2186.3200,5.0480,5.0100,5.2620,3.8000,1.3910,0.0000
42885.3750,58941,1378.6000,2184.1000,5.0540,5.0650,5.2400,3.6550,1.4520,0.0000
42885.4167,58942,1375.8300,2179.5200,5.0590,5.0550,5.1970,3.7980,1.5060,0.0000
42885.4583,58943,1374.3000,2188.7600,5.0600,5.0750,5.2100,3.7230,1.5140,0.0000
42885.5000,58944,1377.3300,2198.5800,5.0640,5.1060,5.3730,3.6550,1.5180,0.0000
42885.5417,58945,1375.2900,2202.9000,5.0580,5.0830,5.3970,3.7280,1.5210,0.0000
42885.5833,58946,1380.4000,2200.7000,5.0580,5.0770,5.2650,3.7280,1.4900,0.0000
42885.6250,58947,1388.3300,2197.4000,5.0580,5.0550,5.0720,3.7280,1.4940,0.0000
42885.6667,58948,1392.5000,2214.3100,5.0530,5.0490,5.0250,3.7280,1.4980,0.0000
42885.7083,58949,1392.2500,2223.1600,5.0530,5.0380,5.2380,3.5020,1.5040,0.0000
42885.7500,58950,1396.7000,2233.8700,5.0530,5.0370,5.3760,3.6550,1.5030,0.0000
42885.7917,58951,1404.3600,2238.9000,5.0550,5.0480,5.4760,3.6550,1.4740,0.0000
42885.8333,58952,1401.2000,2238.3000,5.0550,5.0480,5.2080,3.6570,1.4700,0.0000
42885.8750,58953,1398.0200,2242.6700,5.0520,5.0480,4.3960,3.6550,1.4670,0.0000
42885.9167,58954,1393.2000,2251.1200,5.0520,5.0490,4.9480,3.6670,1.4700,0.0000
42885.9583,58955,1388.7400,2260.2600,5.0500,5.0480,5.2800,3.7280,1.4720,0.0000
42886.0000,58956,1384.8000,2267.0700,5.0570,5.0520,5.9330,3.7240,1.3490,0.0000
42886.0417,58957,1383.1200,2273.7500,5.0520,5.0840,5.5070,3.7230,1.4880,0.0000
42886.0833,58958,1384.2300,2276.9900,5.0470,5.0810,5.3460,3.7220,1.5230,0.0000
42886.1250,58959,1388.4900,2313.0000,5.0510,5.0490,5.4560,3.7240,1.5190,0.0000
42886.1667,58960,1397.3400,2314.1100,5.0480,5.0390,5.5090,3.6660,1.5170,0.0000
42886.2083,58961,1392.0600,2308.6400,5.0450,5.0500,5.4190,3.9400,1.5220,0.0000
42886.2500,58962,1391.0000,2306.0900,5.0490,5.0460,5.4410,3.5740,1.5190,0.0000
42886.2917,58963,1387.7900,2303.8900,5.0490,5.0490,5.4130,3.7910,1.5170,0.0000
42886.3333,58964,1379.0600,2302.5100,5.0500,5.0500,5.2950,3.5740,1.5180,0.0000
42886.3750,58965,1381.6500,2301.7000,5.0520,5.0440,5.3550,3.7910,1.5170,0.0000
42886.4167,58966,1380.0000,2301.9600,5.0620,5.0650,5.3610,3.4980,1.5180,0.0000
42886.4583,58967,1381.6400,2306.9200,5.0600,5.0570,5.3030,3.6480,1.5190,0.0000
42886.5000,58968,1382.7400,2308.4900,5.0610,5.0450,5.2690,3.5720,1.5190,0.0000
42886.5417,58969,1385.2400,2316.2300,5.0600,5.0450,5.3350,3.5740,1.5190,0.0000
42886.5833,58970,1387.1400,2324.5600,5.0610,5.0830,5.2740,3.4980,1.5210,0.0000
42886.6250,58971,1391.6000,2323.8900,5.0590,5.0930,5.2540,3.4960,1.5230,0.0000
42886.6667,58972,1389.4000,2325.5700,5.0530,5.0800,5.2570,3.3570,1.5250,0.0000
42886.7083,58973,1390.9100,2326.7400,5.0540,5.0470,5.1740,3.5110,1.5250,0.0000
42886.7500,58974,1386.3300,2328.6700,5.0560,5.0950,5.2840,3.5020,1.4830,0.1000
42886.7917,58975,1386.7800,2329.3800,5.0570,5.0570,5.3360,3.4380,1.4830,0.3000
42886.8333,58976,1387.6700,2330.0100,5.0570,5.0600,5.2920,3.5740,1.4850,0.0000
42886.8750,58977,1383.8100,2332.1900,5.0570,5.0510,5.2670,3.5730,1.4850,0.2000
42886.9167,58978,1377.1200,2335.9400,5.0540,5.0880,5.2900,3.5690,1.4850,1.5000
42886.9583,58979,1374.4000,2337.4100,5.0540,5.0890,5.3580,3.5700,1.4840,1.7000
42887.0000,58980,1370.0000,2336.5400,5.0540,5.0940,5.2540,3.6050,1.4830,1.1000
42887.0417,58981,1368.4900,2337.3500,5.0530,5.0510,5.2740,3.5650,1.4820,0.3000
42887.0833,58982,1367.0000,2339.3700,5.0520,5.0210,5.2620,3.5680,1.5590,0.1000
42887.1250,58983,1362.9700,2336.5900,5.0530,5.0240,5.3140,3.6460,1.7280,0.1000
42887.1667,58984,1361.5300,2330.2800,5.0530,5.0230,5.3040,3.6460,1.5670,0.0000
42887.2083,58985,1362.2200,2323.8300,5.0530,4.9750,5.3630,3.7150,1.5020,0.0000
42887.2500,58986,1361.1700,2322.7900,5.0530,4.9560,5.2390,3.7850,1.4870,0.0000
42887.2917,58987,1367.9400,2319.5600,5.0530,5.0110,5.3270,3.4420,1.7310,0.0000
42887.3333,58988,1367.1700,2319.8500,5.0540,4.9960,5.3710,3.7870,1.3130,0.0000
42887.3750,58989,1370.8000,2318.1600,5.0570,5.0490,5.3450,3.6460,1.4200,0.0000
42887.4167,58990,1373.1700,2316.7400,5.0620,5.0730,5.4510,3.7190,1.6840,0.0000
42887.4583,58991,1374.4000,2321.5000,5.0630,5.0450,5.3720,3.6460,1.7300,0.0000
42887.5000,58992,1382.2900,2374.5700,5.0640,5.0630,5.4650,3.7190,1.7340,0.0000
42887.5417,58993,1390.5100,2376.8400,5.0660,5.0450,5.3820,3.8630,1.6970,0.0000
42887.5833,58994,1384.8200,2373.3100,5.0610,5.0440,5.3620,3.7910,1.6840,0.0000
42887.6250,58995,1390.2500,2371.9000,5.0630,5.0450,5.3990,3.7910,1.6710,0.0000
42887.6667,58996,1392.2000,2369.3400,5.0540,5.0450,5.4550,3.7890,1.6760,0.0000
42887.7083,58997,1396.2100,2354.1200,5.0540,5.0430,5.3990,3.7910,1.6760,0.0000
42887.7500,58998,1401.1700,2337.3500,5.0560,5.0430,5.4680,3.7190,1.6750,0.0000
42887.7917,58999,1405.3800,2337.3500,5.0560,5.0450,5.4350,3.7190,1.6760,0.0000
42887.8333,59000,1410.2900,2324.5100,5.0570,5.0450,5.4290,3.7190,1.6740,0.0000
42887.8750,59001,1413.6000,2319.7000,5.0550,5.0440,5.4570,3.7190,1.6720,0.0000
42887.9167,59002,1415.5100,2322.8800,5.0550,5.0490,5.5170,3.6460,1.6820,0.0000
42887.9583,59003,1418.7700,2311.8900,5.0560,5.0480,5.4820,3.7190,1.6770,0.0000
42888.0000,59004,1416.3000,2309.0500,5.0540,4.9520,5.4700,3.6460,1.6210,0.0000
42888.0417,59005,1421.6000,2308.4500,5.0490,5.0040,5.4220,3.6460,1.5750,0.0000
42888.0833,59006,1421.5700,2302.8300,5.0520,5.0010,5.5550,3.6460,1.5460,0.0000
42888.1250,59007,1424.3200,2297.8100,5.0520,4.9630,5.7600,3.6460,1.5350,0.0000
42888.1667,59008,1431.9000,2295.9100,5.0450,5.0320,5.6300,3.6460,1.5290,0.0000
42888.2083,59009,1423.6900,2291.2900,5.0480,5.2370,5.6180,3.6460,1.5150,0.0000
42888.2500,59010,1419.7900,2288.7400,5.0520,5.0950,5.5780,3.6460,1.5140,0.0000
42888.2917,59011,1416.4000,2284.2600,5.0510,5.1140,5.5310,3.6050,1.7530,0.0000
42888.3333,59012,1419.2000,2280.2200,5.0550,5.1000,5.4400,3.9350,1.4130,0.0000
42888.3750,59013,1436.6000,2281.7700,5.0600,5.4070,5.4210,3.5740,1.3750,0.0000
42888.4167,59014,1459.2800,2282.6800,5.0580,5.7090,5.4540,3.6480,1.6580,0.0000
42888.4583,59015,1484.7300,2282.7700,5.0620,5.6830,5.4600,3.5740,1.5840,0.0000
42888.5000,59016,1514.2900,2293.4600,5.0580,5.6870,5.4480,3.6300,1.4640,0.0000
42888.5417,59017,1539.7000,2293.8100,5.0620,5.6930,5.3120,3.5720,1.4830,0.0000
42888.5833,59018,1557.8700,2291.0900,5.0630,5.6310,5.2560,3.5740,1.6050,0.0000
42888.6250,59019,1568.4000,2289.6000,5.0620,5.7070,5.3220,3.5740,1.6120,0.0000
42888.6667,59020,1570.4000,2289.7900,5.0570,5.6320,5.3680,3.6520,1.6210,0.0000
42888.7083,59021,1562.5300,2289.2500,5.0550,5.6290,5.3800,3.6540,1.6190,0.0000
42888.7500,59022,1552.6000,2285.0100,5.0560,5.7220,5.3950,3.6220,1.5910,0.0000
42888.7917,59023,1538.8100,2277.0700,5.0560,5.7100,5.4060,3.6230,1.5770,0.0000
42888.8333,59024,1525.2000,2265.5500,5.6140,5.6290,5.4240,3.5840,1.5670,0.0000
42888.8750,59025,1506.2000,2266.3900,5.6280,5.7230,5.3870,3.5740,1.5670,0.0000
42888.9167,59026,1498.6000,2261.3500,5.6320,5.7310,5.4100,3.5720,1.5710,0.0000
42888.9583,59027,1482.8800,2259.7600,5.6310,5.6420,5.3650,3.5740,1.5710,0.0000
42889.0000,59028,1469.8000,2245.1200,5.6330,5.6320,5.2970,3.5740,1.5700,0.0000
42889.0417,59029,1453.4800,2231.9000,5.6290,5.6310,5.4060,3.5740,1.5580,0.0000
42889.0833,59030,1437.6400,2222.6100,5.6260,5.6300,5.3780,3.5740,1.5410,0.0000
42889.1250,59031,1433.0000,2214.7800,5.6290,5.6250,5.8170,3.5740,1.4840,0.0000
42889.1667,59032,1428.8100,2220.5000,5.6280,5.6290,4.5210,3.5740,1.4820,0.0000
42889.2083,59033,1422.6200,2220.2400,5.6260,5.6350,5.5480,3.5720,1.4670,0.0000
42889.2500,59034,1420.2700,2219.7100,5.6260,5.6400,6.2000,3.3630,1.4610,0.0000
42889.2917,59035,1417.2100,2236.5900,5.6280,5.7210,5.7000,3.6530,1.4560,0.0000
42889.3333,59036,1420.2700,2249.0700,5.6280,5.7320,5.5350,3.5740,1.4550,0.0000
42889.3750,59037,1424.2000,2252.1600,5.6310,6.3560,5.4160,3.6550,1.4620,0.0000
42889.4167,59038,1420.9600,2258.3200,5.6340,5.9880,5.4420,3.4330,1.5540,0.0000
42889.4583,59039,1423.4000,2258.4700,5.6340,5.9840,5.4450,3.4880,1.6870,0.0000
42889.5000,59040,1429.6400,2256.7500,5.6350,5.9210,5.4120,3.5020,1.5120,0.0000
42889.5417,59041,1433.3700,2252.4300,5.6350,5.8270,5.5590,3.5020,1.5850,0.0000
42889.5833,59042,1444.3100,2249.6400,5.6340,5.8020,5.9150,3.5770,1.9220,0.0000
42889.6250,59043,1455.1600,2338.0700,5.6310,5.6790,6.0250,3.8720,1.9240,0.0000
42889.6667,59044,1464.4900,2441.0500,5.6280,5.7930,5.9730,5.1830,1.8750,0.0000
42889.7083,59045,1470.7100,2486.0100,5.6280,5.7380,6.0110,4.8960,1.8920,0.0000
42889.7500,59046,1472.1700,2501.3100,5.6270,5.7310,6.0350,4.8920,2.4310,3.3000
42889.7917,59047,1475.2500,2510.9900,5.6290,5.7310,6.0110,4.6380,3.4940,2.5000
42889.8333,59048,1465.7500,2493.1900,5.6290,5.7270,5.9650,4.4780,3.1050,4.4000
42889.8750,59049,1451.5000,2432.2500,5.6240,5.6230,6.0290,4.3240,2.8170,1.4000
42889.9167,59050,1441.1800,2472.4200,5.6230,5.7290,5.9320,4.1620,2.8130,0.0000
42889.9583,59051,1424.6600,2507.6500,5.6240,5.7330,5.8140,4.1620,2.4900,0.0000
42890.0000,59052,1413.9600,2503.5000,5.6230,5.7020,5.8100,4.1620,2.2300,0.0000
42890.0417,59053,1401.9200,2494.1000,5.6190,5.6410,6.0070,4.0890,2.2130,0.0000
42890.0833,59054,1396.1600,2494.3600,5.6150,5.6880,5.8510,4.0090,2.1960,0.1000
42890.1250,59055,1390.4900,2484.8600,5.6140,5.7280,5.8440,4.4710,2.6650,0.0000
42890.1667,59056,1387.8900,2485.4500,5.6180,5.7290,6.1660,4.3930,2.8250,0.0000
42890.2083,59057,1384.2000,2388.9800,5.6220,5.6300,5.9540,4.2380,2.4720,0.0000
42890.2500,59058,1382.9200,2414.9100,5.6220,5.6280,5.9290,4.0810,2.3250,0.0000
42890.2917,59059,1383.2400,2446.9700,5.6210,5.6290,6.0430,4.0890,2.0730,0.0000
42890.3333,59060,1380.0200,2597.2700,5.6170,5.6540,6.1270,4.0160,2.0570,0.0000
42890.3750,59061,1382.0000,2983.3600,5.6210,5.6990,6.3710,3.9420,2.0470,0.0000
42890.4167,59062,1380.2000,3876.1400,5.6240,5.7700,6.4330,3.8650,2.0500,0.0000
42890.4583,59063,1374.8300,4749.8200,5.6270,5.7290,6.3760,3.8640,2.0560,0.0000
42890.5000,59064,1371.3900,5425.5300,5.6310,5.6970,6.4760,3.7920,1.8190,0.1000
42890.5417,59065,1363.8000,6089.7300,5.6270,5.8310,7.0410,3.7240,1.8720,0.0000
42890.5833,59066,1363.1200,6383.2000,5.6270,5.7790,7.0460,3.7240,1.9900,0.0000
42890.6250,59067,1362.8900,6984.5800,5.6260,5.7290,7.0000,3.7240,2.0130,0.0000
42890.6667,59068,1351.0000,7021.3800,5.6250,5.7160,6.6260,3.7190,2.0170,0.0000
