QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
14,5,12,9,13,7,809.84,781.87,779.24,776.89,778.41,809.49,782.57,782.34,777.09,780.31,809.49,782.47,781.44,776.29,779.91
14,5,12,9,13,7,809.79,781.77,779.14,776.89,778.31,809.84,781.87,779.24,776.89,778.41,809.49,782.47,781.74,776.39,779.91
14,5,12,9,13,7,809.79,781.67,779.09,776.69,778.26,809.84,781.87,779.24,776.89,778.41,809.49,782.52,782.14,776.99,779.96
16,5,14,9,13,7,809.79,781.62,779.09,776.69,778.11,809.84,781.87,779.24,776.89,778.41,809.49,782.52,782.14,776.99,779.96
16,5,14,9,13,7,809.04,781.57,779.04,776.59,778.06,809.79,781.77,779.14,776.89,778.31,809.49,782.57,782.34,777.09,780.31
14,5,10,9,13,7,809.04,781.57,779.04,776.59,778.06,809.79,781.67,779.09,776.69,778.26,809.84,781.87,779.24,776.89,778.41
10,5,14,8,13,7,809.04,781.57,779.04,776.59,778.06,809.79,781.62,779.09,776.69,778.11,809.84,781.87,779.24,776.89,778.41
16,5,14,9,13,7,809.19,780.77,778.54,776.49,778.01,809.04,781.57,779.04,776.59,778.06,809.84,781.87,779.24,776.89,778.41
16,5,14,9,13,7,809.54,780.72,778.44,776.49,778.01,809.04,781.57,779.04,776.59,778.06,809.79,781.77,779.14,776.89,778.31
16,5,14,9,13,7,808.89,780.62,778.34,776.19,778.01,809.04,781.57,779.04,776.59,778.06,809.79,781.67,779.09,776.69,778.26
16,5,14,9,13,7,808.79,780.37,778.04,776.14,778.01,809.19,780.77,778.54,776.49,778.01,809.79,781.62,779.09,776.69,778.11
16,5,14,9,13,7,808.74,780.32,777.94,776.14,778.01,809.54,780.72,778.44,776.49,778.01,809.04,781.57,779.04,776.59,778.06
16,5,14,9,13,7,808.74,780.32,777.94,776.14,778.01,808.89,780.62,778.34,776.19,778.01,809.04,781.57,779.04,776.59,778.06
16,5,14,9,13,7,808.74,780.32,777.94,776.14,778.01,808.79,780.37,778.04,776.14,778.01,809.04,781.57,779.04,776.59,778.06
16,5,14,9,13,7,808.49,779.97,777.74,775.99,777.61,808.74,780.32,777.94,776.14,778.01,809.19,780.77,778.54,776.49,778.01
16,5,14,9,13,7,808.44,779.92,777.74,775.99,777.56,808.74,780.32,777.94,776.14,778.01,809.54,780.72,778.44,776.49,778.01
16,5,14,9,13,7,808.39,779.87,777.64,775.79,777.56,808.74,780.32,777.94,776.14,778.01,808.89,780.62,778.34,776.19,778.01
16,5,14,9,13,7,808.34,779.82,777.64,775.69,777.56,808.49,779.97,777.74,775.99,777.61,808.79,780.37,778.04,776.14,778.01
16,5,14,9,13,7,808.29,779.77,777.29,775.69,777.56,808.44,779.92,777.74,775.99,777.56,808.74,780.32,777.94,776.14,778.01
16,5,14,7,13,7,808.19,779.57,782.54,776.19,778.15,808.39,779.87,777.64,775.79,777.56,808.74,780.32,777.94,776.14,778.01
16,5,14,7,13,7,808.19,779.57,782.54,776.19,778.73,808.34,779.82,777.64,775.69,777.56,808.74,780.32,777.94,776.14,778.01
16,5,14,7,13,7,808.19,779.57,782.54,776.19,779.32,808.29,779.77,777.29,775.69,777.56,808.49,779.97,777.74,775.99,777.61
16,5,14,9,13,7,808.29,779.52,782.54,776.29,779.91,808.19,779.57,782.54,776.19,778.15,808.44,779.92,777.74,775.99,777.56
16,5,14,9,13,7,807.89,779.37,777.14,776.19,777.21,808.19,779.57,782.54,776.19,778.73,808.39,779.87,777.64,775.79,777.56
16,5,14,9,13,7,807.89,779.37,777.14,776.19,777.21,808.19,779.57,782.54,776.19,779.32,808.34,779.82,777.64,775.69,777.56
16,5,14,7,13,5,808.09,779.27,777.09,776.14,777.21,808.29,779.52,782.54,776.29,779.91,808.29,779.77,777.29,775.69,777.56
